symbol,bid_size,bid,ask,ask_size,lastPrice,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,underlying_asset,expiration,option_type,strike
COMC260.DI,0,0.0,114.0,3,24.0,23.547,-0.04,28.0,28.0,22.0,25.0,2499702.5,1059,95,16:58:00,COME,2024-12-20,C,260.0
COMC270.DI,0,0.0,0.0,0,18.5,18.5,-0.1245,21.0,21.0,18.5,21.133,914064.0,475,63,16:59:00,COME,2024-12-20,C,270.0
COMC280.AB,0,0.0,0.0,0,42.0,42.0,-0.23629999999999998,42.0,42.0,42.0,55.0,8400.0,2,2,14:08:00,COME,2025-04-16,C,280.0
COMC280.DI,0,0.0,0.0,0,14.5,14.685,-0.11710000000000001,16.9,16.9,13.703,16.425,2929466.3,2022,126,16:59:00,COME,2024-12-20,C,280.0
COMC280.FE,0,0.0,85.5,27,30.0,30.208,0.0344,29.0,32.0,26.0,29.0,1372558.0,443,103,16:59:00,COME,2025-02-21,C,280.0
COMC290.DI,0,0.0,0.0,0,10.549,10.549,-0.0045000000000000005,11.0,11.0,10.0,10.597,208346.8,198,20,16:57:00,COME,2024-12-20,C,290.0
COMC300.AB,0,0.0,0.0,0,29.5,29.5,0.1259,29.5,29.5,29.5,26.2,2950.0,1,1,12:18:00,COME,2025-04-16,C,300.0
COMC300.DI,0,0.0,19.7,10,7.9,7.794,-0.06860000000000001,9.0,9.0,7.0,8.482,3192024.1,4197,122,16:59:00,COME,2024-12-20,C,300.0
COMC300.FE,0,0.0,0.0,0,23.2,20.86,0.15990000000000001,19.0,23.2,19.0,20.0,22760.0,11,5,14:19:00,COME,2025-02-21,C,300.0
COMC310.AB,0,0.0,0.0,0,21.5,21.5,0.0,18.21,21.5,18.21,0.0,3971.0,2,2,13:20:00,COME,2025-04-16,C,310.0
COMC310.DI,0,0.0,0.0,0,6.499,6.499,0.1924,5.5,6.499,4.509,5.45,28183.3,53,8,16:54:00,COME,2024-12-20,C,310.0
COMC320.DI,0,0.0,10.0,10,3.979,3.979,-0.1157,2.39,4.1,2.39,4.5,28578.4,74,12,14:31:00,COME,2024-12-20,C,320.0
COMC330.FE,0,0.0,0.0,0,7.0,7.0,-0.41659999999999997,7.0,7.0,7.0,12.0,700.0,1,1,13:39:00,COME,2025-02-21,C,330.0
COMC350.DI,0,0.0,0.0,0,1.45,1.45,-0.152,1.01,1.9,1.01,1.71,163752.0,1084,19,16:51:00,COME,2024-12-20,C,350.0
COMC400.DI,0,0.0,1.48,162,0.68,0.759,-0.07730000000000001,0.8,1.122,0.68,0.737,99786.8,1239,32,16:32:00,COME,2024-12-20,C,400.0
COMC400.FE,274,1.1,10.0,100,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,,COME,2025-02-21,C,400.0
COMV172.DI,49,0.15,0.0,0,0.15,0.15,-0.3478,0.23,0.23,0.15,0.23,12786.0,608,13,16:32:00,COME,2024-12-20,P,172.0
COMV180.DI,95,0.15,0.0,0,0.15,0.15,-0.0066,0.15,0.15,0.15,0.151,30.0,2,1,14:12:00,COME,2024-12-20,P,180.0
COMV188.DI,100,0.18,0.0,0,0.18,0.18,0.0,0.18,0.18,0.18,0.18,36.0,2,1,14:14:00,COME,2024-12-20,P,188.0
COMV196.DI,75,0.19,0.0,0,0.275,0.275,0.1956,0.26,0.286,0.26,0.23,5363.6,201,9,16:42:00,COME,2024-12-20,P,196.0
COMV205.DI,20,0.28,0.0,0,0.41,0.41,-0.1929,0.28,0.59,0.28,0.508,2776.0,66,14,16:57:00,COME,2024-12-20,P,205.0
COMV210.DI,80,0.25,0.0,0,0.29,0.286,-0.4313,0.51,0.53,0.27,0.51,30848.3,682,32,16:28:00,COME,2024-12-20,P,210.0
COMV220.DI,0,0.0,0.0,0,1.05,1.05,-0.16260000000000002,1.1,1.1,0.501,1.254,11939.6,115,13,16:12:00,COME,2024-12-20,P,220.0
COMV230.DI,0,0.0,0.0,0,1.3,1.3,-0.509,2.65,2.65,1.201,2.648,55159.5,236,21,16:33:00,COME,2024-12-20,P,230.0
COMV240.DI,0,0.0,0.0,0,4.8,4.8,0.408,3.983,4.8,3.73,3.409,32411.1,76,9,15:57:00,COME,2024-12-20,P,240.0
COMV250.DI,0,0.0,0.0,0,4.101,7.182,-0.484,6.432,7.96,3.831,7.949,103435.4,173,51,16:31:00,COME,2024-12-20,P,250.0
COMV260.DI,0,0.0,0.0,0,12.5,12.5,-0.1246,12.0,13.0,9.65,14.28,39705.6,35,12,16:49:00,COME,2024-12-20,P,260.0
COMV270.DI,0,0.0,0.0,0,13.0,12.412,-0.3122,16.0,16.0,12.001,18.901,56602.0,43,14,16:39:00,COME,2024-12-20,P,270.0
COMV300.DI,0,0.0,0.0,0,35.0,35.0,-0.23070000000000002,35.0,35.0,35.0,45.5,3500.0,1,1,13:06:00,COME,2024-12-20,P,300.0
CREV1050AB,0,0.0,0.0,0,15.59,15.59,0.0,15.59,15.59,15.59,0.0,130956.0,84,2,12:52:00,CRES,2025-04-16,P,1050.0
EDNC1700DI,0,0.0,0.0,0,180.0,180.0,-0.1821,180.0,180.0,180.0,220.1,126000.0,7,1,15:29:00,EDN,2024-12-20,C,1700.0
EDNV1700DI,0,0.0,0.0,0,30.0,30.0,0.2396,30.0,30.0,30.0,24.2,6000.0,2,2,15:01:00,EDN,2024-12-20,P,1700.0
GFGC3150DI,0,0.0,0.0,0,3261.58,3261.58,0.0318,3015.2,3261.58,3015.2,3160.93,72055325.0,228,98,15:48:00,GGAL,2024-12-20,C,3150.0
GFGC36464D,0,0.0,0.0,0,2685.38,2678.693,-0.0033,2691.41,2711.48,2655.28,2694.306,12835262.0,48,27,14:49:00,GGAL,2024-12-20,C,36464.0
GFGC37964D,0,0.0,0.0,0,2535.72,2535.72,-0.12390000000000001,2535.72,2535.72,2535.72,2894.608,253572.0,1,1,14:48:00,GGAL,2024-12-20,C,37964.0
GFGC42964D,0,0.0,0.0,0,1986.71,2002.653,-0.04019999999999999,2027.45,2027.45,1986.71,2070.0,1401857.0,7,3,11:45:00,GGAL,2024-12-20,C,42964.0
GFGC4600DI,0,0.0,0.0,0,1756.21,1756.21,-0.11810000000000001,1736.08,1756.21,1685.97,1991.51,2766714.0,16,4,12:08:00,GGAL,2024-12-20,C,4600.0
GFGC4800DI,0,0.0,0.0,0,1694.999,1693.333,0.027200000000000002,1607.545,1694.999,1509.76,1650.0,7882870.8,50,19,16:54:00,GGAL,2024-12-20,C,4800.0
GFGC5000DI,0,0.0,0.0,0,1394.179,1394.179,0.0049,1412.39,1412.39,1318.185,1387.28,3214225.3,23,7,14:51:00,GGAL,2024-12-20,C,5000.0
GFGC5000FE,2,1600.0,0.0,0,1780.0,1780.0,-0.06309999999999999,1780.0,1780.0,1780.0,1900.0,356000.0,2,1,13:05:00,GGAL,2025-02-21,C,5000.0
GFGC50964D,0,0.0,0.0,0,1400.0,1400.0,0.081,1331.06,1400.0,1229.856,1295.001,8048747.7,60,27,16:39:00,GGAL,2024-12-20,C,50964.0
GFGC5400DI,0,0.0,0.0,0,1082.306,1081.153,-0.028399999999999998,1025.0,1159.175,1000.0,1114.0,30093596.2,293,23,16:23:00,GGAL,2024-12-20,C,5400.0
GFGC5600DI,0,0.0,0.0,0,935.0,954.444,-0.0166,860.0,1010.0,835.0,950.844,10713498.0,121,11,16:34:00,GGAL,2024-12-20,C,5600.0
GFGC5600FE,2,1155.0,0.0,0,0.0,1600.0,0.0,0.0,0.0,0.0,1600.0,0.0,0,0,,GGAL,2025-02-21,C,5600.0
GFGC5800DI,0,0.0,1100.0,4,820.0,820.0,0.021400000000000002,655.001,820.0,655.0,802.8,9285181.9,125,43,16:59:00,GGAL,2024-12-20,C,5800.0
GFGC58964D,0,0.0,1000.0,3,740.0,742.5,0.0302,625.0,760.0,620.0,718.247,18465924.5,263,53,16:59:00,GGAL,2024-12-20,C,58964.0
GFGC60964D,0,0.0,900.0,5,610.11,613.455,0.014199999999999999,539.03,617.151,480.0,601.519,584279326.0,10788,1120,16:59:00,GGAL,2024-12-20,C,60964.0
GFGC6200FE,0,0.0,0.0,0,930.0,945.0,0.0,900.0,950.0,870.0,930.0,11136499.9,125,27,16:53:00,GGAL,2025-02-21,C,6200.0
GFGC6400DI,0,0.0,0.0,0,435.0,439.041,0.0123,430.0,449.0,341.0,429.693,442846998.2,11260,1336,16:59:00,GGAL,2024-12-20,C,6400.0
GFGC6600AB,0,0.0,0.0,0,1200.0,1200.0,0.2,930.0,1200.0,930.0,1000.0,213000.0,2,2,16:46:00,GGAL,2025-04-16,C,6600.0
GFGC6600DI,0,0.0,594.0,21,343.49,342.609,0.0172,330.0,348.45,265.0,337.65,561775107.7,18091,1346,16:59:00,GGAL,2024-12-20,C,6600.0
GFGC6800DI,0,0.0,0.0,0,270.0,273.94,0.0109,259.0,290.0,206.971,267.063,110092985.3,4387,720,16:59:00,GGAL,2024-12-20,C,6800.0
GFGC7000DI,0,0.0,500.0,5,204.0,205.941,0.014499999999999999,198.0,209.0,151.0,201.068,210806076.3,11187,1143,16:59:00,GGAL,2024-12-20,C,7000.0
GFGC7000FE,0,0.0,0.0,0,699.0,631.286,0.0555,650.0,699.0,595.0,662.222,4202950.0,68,17,16:54:00,GGAL,2025-02-21,C,7000.0
GFGC7200DI,0,0.0,0.0,0,155.0,154.491,0.0229,140.613,155.0,118.0,151.519,131644630.6,9643,983,16:59:00,GGAL,2024-12-20,C,7200.0
GFGC7400DI,0,0.0,0.0,0,112.2,114.337,0.0108,103.21,115.0,65.99,110.991,39140056.1,3765,524,16:59:00,GGAL,2024-12-20,C,7400.0
GFGC7400FE,0,0.0,670.0,1,550.0,550.0,0.0,0.0,0.0,0.0,550.0,0.0,0,0,,GGAL,2025-02-21,C,7400.0
GFGC7600DI,3,78.0,99.0,5,82.22,84.756,0.0222,75.0,86.9,61.0,80.43,153147250.1,20134,1530,16:59:00,GGAL,2024-12-20,C,7600.0
GFGC7600FE,0,0.0,500.0,1,399.999,400.0,0.049800000000000004,390.0,400.0,340.0,381.0,6244799.9,171,46,16:58:00,GGAL,2025-02-21,C,7600.0
GFGC7800DI,0,0.0,0.0,0,60.989,59.972,0.0374,55.0,75.0,42.39,58.785,18989942.0,3295,585,16:59:00,GGAL,2024-12-20,C,7800.0
GFGC8300DI,0,0.0,0.0,0,27.5,27.419,-0.0175,34.0,34.0,20.0,27.992,4174017.8,1669,101,16:57:00,GGAL,2024-12-20,C,8300.0
GFGC8300FE,15,64.99,0.0,0,195.0,195.0,-0.11359999999999999,170.0,195.0,170.0,220.0,126500.0,7,3,16:52:00,GGAL,2025-02-21,C,8300.0
GFGC8600DI,0,0.0,0.0,0,16.0,16.128,-0.11230000000000001,21.9,21.9,12.0,18.025,10324030.2,6915,539,16:59:00,GGAL,2024-12-20,C,8600.0
GFGV3150DI,32,1.32,0.0,0,1.32,1.32,-0.2072,2.295,2.295,1.3,1.665,307322.1,2140,204,16:54:00,GGAL,2024-12-20,P,3150.0
GFGV36464D,1,1.5,2.95,10,1.5,1.503,-0.12789999999999999,1.6,1.6,1.5,1.72,14500.2,93,34,13:32:00,GGAL,2024-12-20,P,36464.0
GFGV37964D,36,1.45,0.0,0,1.45,1.45,-0.2368,2.495,2.495,1.45,1.9,56409.2,337,102,16:53:00,GGAL,2024-12-20,P,37964.0
